Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
SI-25681,1096,658,7,Electronics,Electronic Games,Jazz Cash
SI-26055,5729,64,14,Furniture,Chairs,UPaisa
SI-25955,2927,146,8,Furniture,Bookcases,UPaisa
SI-26093,2847,712,8,Electronics,Printers,Credit Card
SI-25602,2617,1151,4,Electronics,Phones,Credit Card
SI-25881,2244,247,4,Clothing,Trousers,Credit Card
SI-25696,275,-275,4,Clothing,Saree,Jazz Cash
SI-25687,387,-213,5,Clothing,Saree,Easypaisa
SI-25643,50,-44,2,Clothing,Hankerchief,Easypaisa
SI-25851,135,-54,5,Clothing,Kurti,Jazz Cash
SI-25703,231,-190,9,Clothing,Hankerchief,Jazz Cash
SI-25887,2125,-234,6,Electronics,Printers,UPaisa
SI-25923,3873,-891,6,Electronics,Phones,Credit Card
SI-25756,729,-492,5,Furniture,Bookcases,Easypaisa
SI-25761,2188,1050,5,Furniture,Bookcases,Credit Card
SI-25655,6,-3,1,Clothing,Hankerchief,Easypaisa
SI-25786,1854,433,5,Furniture,Bookcases,Credit Card
SI-26095,6,1,1,Clothing,Kurti,Easypaisa
SI-25853,2093,721,5,Furniture,Chairs,Credit Card
SI-25735,7,-1,2,Clothing,Skirt,Easypaisa
SI-25910,1622,-624,5,Furniture,Tables,Credit Card
SI-25950,1622,95,5,Electronics,Printers,Credit Card
SI-25744,373,254,6,Electronics,Printers,Easypaisa
SI-25845,82,-33,4,Clothing,Kurti,Jazz Cash
SI-26001,8,2,2,Clothing,Skirt,Easypaisa
SI-25830,1954,782,3,Electronics,Phones,Credit Card
SI-25842,1543,370,8,Electronics,Printers,Credit Card
SI-25778,1506,-266,6,Electronics,Printers,Credit Card
SI-25686,1829,-56,6,Furniture,Tables,Credit Card
SI-25754,9,-1,3,Clothing,Skirt,Easypaisa
SI-26048,1461,202,5,Furniture,Tables,UPaisa
SI-25816,391,113,8,Clothing,Stole,Jazz Cash
SI-26022,1824,1303,8,Electronics,Phones,Credit Card
SI-25883,16,-15,4,Clothing,Hankerchief,Easypaisa
SI-26003,1745,122,2,Furniture,Tables,Credit Card
SI-26097,663,-212,5,Electronics,Printers,Easypaisa
SI-25710,10,-1,1,Clothing,Leggings,Easypaisa
SI-25797,1630,802,5,Furniture,Tables,UPaisa
SI-25618,12,0,2,Clothing,Hankerchief,Easypaisa
SI-25723,12,-7,2,Clothing,Leggings,Easypaisa
SI-25755,1709,564,3,Clothing,Trousers,Credit Card
